ID,SchoolCode,SchoolName,Address,City,StateCode,ZipCode,Province,Country,PostalCode
26248,E01216,MILLER - MOTTE TECHNICAL COLLEGE - MADIS,801 SPACE PARK NORTH,GOODLETTSVILLE,TN,37072,,,
26249,E01222,ATI CAREER TRAINING CENTER - MIAMI,7265 NW25TH STREET,MIAMI,FL,33122,,,
26250,E01223,VIRGINIA COLLEGE - BILOXI,920 CEDAR LAKE ROAD,BILOXI,MS,39532,,,
26251,E01224,ART INSTITUTE OF PHOENIX (THE) - ART  IN,3500 DEPAUW BOULEVARD,INDIANAPOLIS,IN,46268,,,
26252,E01225,JOHN DEWEY COLLEGE - JUANA DIAZ BRANCH,BO.LOMAS 149 ROAD KM. 6702,JUANA DIAZ,PR,00795,,,
26253,E01227,BARTLESVILLE BEAUTY COLLEGE,108 SOUTH SENECA,BARTLESVILLE,OK,74003,,,
26254,E01240,HAIR PROFESSIONALS ACADEMY OF COSMETOLOG,1100 NORTH SHERMAN,NAPERVILLE,IL,60563,,,
26255,E01244,RASMUSSEN COLLEGE - ROCKFORD,"6000 EAST STATE STREET, 4TH FLOOR",ROCKFORD,IL,61108,,,
26256,E01245,ANTONELLI COLLEGE - JACKSON,2323 LAKELAND DRIVE,JACKSON,MS,39232,,,
26257,E01246,ANTONELLI COLLEGE - HATTIESBURG,1500 NORTH 31ST AVENUE,HATTIESBURG,MS,39401,,,
26258,E01251,COLLEGE OF  THE MENOMINEE NATION - GREEN,2733 SOUTH RIDGE ROAD SUITE 3,GREEN BAY,WI,54304,,,
26259,E01254,EAST TENNESSEE STATE UNIV - PHARMACY,"CHARLES ED ALLEN HALL, VA",JOHNSON CITY,TN,37614,,,
26260,E01255,LINCOLN TECHNICAL INSTITUTE - WHITESTONE,15-30 PETRACCA PLACE,WHITESTONE,NY,11357,,,
26261,E01257,INTERNATIONAL ACADEMY OF DESIGN & TECH,645 ANDOVER PARK WEST,SEATTLE,WA,98188,,,
26262,E01258,INTERNATIONAL ACADEMY OF DESIGN & TECHNO,4511 HORIZON HILL BOULEVARD,SAN ANTONIO,TX,78229,,,
26263,E01260,VIRGINIA COLLEGE - SCH OF BUSNSS & HLTH,721 EASTGATE LOOP,CHATTANOOGA,TN,37411,,,
26264,E01264,RASMUSSEN COLLEGE - LAKE ELMO,8565 EAGLE POINT CIRCLE,LAKE ELMO,MN,55042,,,
26265,E01265,LINCOLN TECHNICAL INSTITUTE-EUPH INST OF,9340 WEST SAHARA AVENUE,LAS VEGAS,NV,89117,,,
26266,E01266,LINCOLN TECHNICAL INSTITUTE-EUPH INS OFB,11041 SOUTH EASTERN AVENUE,HENDERSON,NV,89052,,,
26267,E01270,BRYAN UNIVERSITY - ROGERS,3704 WEST WALNUT,ROGERS,AR,72756,,,
26268,E01285,KAPLAN COLLEGE -  RIVERSIDE,4040 VINE STREET,RIVERSIDE,CA,92507,,,
26269,E01294,HARRISON COLLEGE - ELKHART,56075 PARKWAY AVENUE,ELKHART,IN,46516,,,
26270,E01295,RASMUSSEN COLLEGE - GREEN BAY,904 SOUTH TAYLOR STREET,GREEN BAY,WI,54303,,,
26271,E01296,MIAMI DADE COLLEGE - HIALEAH CAMPUS,1780 WEST 49 STREET,HIALEAH,FL,33012,,,
26272,E01298,ATI-CAREER TRAINING CENTER - OKLAHOMA CI,2401 N.W. 23RD STREET #14,OKLAHOMA CITY,OK,73107,,,
26273,E01299,ATI CAREER TRAINING CENTER - RICHARDSON,1111 DIGITAL DRIVE,RICHARDSON,TX,75081,,,
26274,E01300,SOUTH TEXAS VOCATIONAL TECHNICAL INSTITU,2144 CENTRAL BOULEVARD,BROWNSVILLE,TX,78520,,,
26275,E01301,SOUTHWEST SCHOOL OF BUSINESS AND TECHNIC,3900 NORTH 23RD STREET,MCALLEN,TX,78501,,,
26276,E01303,BEAUTY INSTITUTE (THE) - MARGATE,331 SOUTH STATE ROAD 7,MARGATE,FL,33068,,,
26277,E01311,EVEREST COLLEGE - EVERETT,906 SE EVERETT MALL PARKWAY,EVERETT,WA,98208,,,
26278,E01312,EVEREST COLLEGE - TACOMA,2156 PACIFIC AVENUE,TACOMA,WA,98402,,,
26279,E01315,EVEREST INSTITUTE - NORCROSS,1750 BEAVER RUIN ROAD,NORCROSS,GA,30093,,,
26280,E01319,EVEREST COLLEGE - CHESAPEAKE,GREENBRIER CIRCLE CORPORATE CENTER,CHESAPEAKE,VA,23320,,,
26281,E01320,EVEREST COLLEGE,6080 NORTH CENTRAL EXPRESSWAY,DALLAS,TX,75206,,,
26282,E01322,EVEREST INSTITUTE - BISSONNET,9700 BISSONNET STREET,HOUSTON,TX,77036,,,
26283,E01327,EVEREST COLLEGE - EVEREST INSTITUTE,9600 SW OAK STREET,TIGARD,OR,97223,,,
26284,E01333,WYOTECH - BLAIRSVILLE,500 INNOVATION DRIVE,BLAIRSVILLE,PA,15717,,,
26285,E01338,EVEREST COLLEGE - ARLINGTON,"300 SIX FLAGS DRIVE, SUITE 100",ARLINGTON,TX,76011,,,
26286,E01340,EVEREST INSTITUTE - HOUSTON GREENSPOINT,255 NORTHPOINT DRIVE,HOUSTON,TX,77060,,,
26287,E01341,EVEREST INSTITUTE - HOUSTON HOBBY,7151 OFFICE CITY DRIVE,HOUSTON,TX,77087,,,
26288,E01342,EVEREST INSTITUTE- DEARBORN,23400 MICHIGAN AVENUE,DEARBORN,MI,48124,,,
26289,E01343,EVEREST INSTITUTE- AUSTIN,9100 US HIGHWAY 290 EAST,AUSTIN,TX,78754,,,
26290,E01344,EVEREST INSTITUTE - DETROIT,300 RIVER PLACE DRIVE,DETROIT,MI,48207,,,
26291,E01345,EVEREST INSTITUTE - SOUTH PLAINFIELD,5000 HADLEY ROAD,SOUTH PLAINFIELD,NJ,07080,,,
26292,E01349,EVEREST UNIVERSITY - ORLANDO SOUTH,9200 SOUTHPARK CENTER LOOP,ORLANDO,FL,32819,,,
26293,E01350,EVEREST UNIVERSITY - MELBOURNE,2401 NORTH HARBOR CITY BOULEVARD,MELBOURNE,FL,32905,,,
26294,E01352,EVEREST UNIVERSITY - ORANGE PARK,805 WELLS ROAD,ORANGE PARK,FL,32073,,,
26295,E01353,EVEREST UNIVERSITY - LAKELAND,995 EAST MEMORIAL BOULEVARD,LAKELAND,FL,33801,,,
26296,E01354,EVEREST UNIVERSITY - JACKSONVILLE,8226 PHILLIPS HIGHWAY,JACKSONVILLE,FL,32256,,,
26297,E01355,FLORIDA TECHNICAL COLLEGE - LAKELAND,"4715 SOUTH FLORIDA AVENUE, SUITE 4",LAKELAND,FL,33813,,,
26298,E01357,EVEREST INSTITUTE - COLUMBUS,825 TECH CENTER DRIVE,GAHANNA,OH,43230,,,
26299,E01360,AMERITECH COLLEGE - DRAPER,12257  BUSINESS PARK DRIVE,DRAPER,UT,84020,,,
26300,E01377,FLORIDA TECHNICAL COLLEGE - DELAND,1199 S. WOODLAND BOULEVARD,DELAND,FL,32720,,,
26301,E01378,INSTITUTE FOR BUSINESS & TECHNOLOGY - LA,5819 NORTHWEST LOOP 410,SAN ANTONIO,TX,78230,,,
26302,E01379,HERITAGE COLLEGE-KANSAS CITY,1200 EAST 104TH,KANSAS CITY,MO,64131,,,
26303,E01380,HERITAGE COLLEGE - WICHITA,2800 SOUTH ROCK ROAD #100,WICHITA,KS,67210,,,
26304,E01381,MARINELLO SCHOOL OF BEAUTY - WILLIMANTIC,1320 MAIN STREET,WILLIMANTIC,CT,06226,,,
26305,E01382,RASMUSSEN COLLEGE - MOORHEAD,1250 29TH AVENUE SOUTH,MOORHEAD,MN,56560,,,
